Sample,Position (m),U    (ppm),Mo   (ppm),V   (ppm),Cr   (ppm),Co    (ppm),Cu    (ppm),Zn     (ppm),Ni    (ppm),Pb     (ppm),Uau (ppm),Moau (ppm),Vau (ppm),Crau (ppm),Coau (ppm),Crau (ppm),Znau (ppm),Niau (ppm),Pbau (ppm),Uef    (ppm),Moef (ppm),Vef (ppm),Cref (ppm),Coef (ppm),Cuef (ppm),Znef (ppm),Nief (ppm),Pbef (ppm),Fe       (%),Mo/Th ,Mo/Fe,U/TOCR,V/    (V+Ni),TOCR    (%),TOC    (%),TS    (%),Pyrite    (%)
F11,0.22,0.3,0.4,11.9,12.8,0.4,3.5,6.9,6.3,1.8,0.2,0.3,7.2,8.4,0,2.2,3.7,4.1,1,2.6,7.1,2.5,2.9,0.6,2.6,2.1,2.8,2.2,0.26,2.5,1.5,0.1,0.65,2.8,0.09,0.08,0.03
F12,0.36,0.4,0.4,12.6,14.5,0.9,3.7,5.4,7.1,1.2,0.2,0.3,7.4,9.6,0,2.2,1.8,4.6,0.3,2.4,5.9,2.4,2.9,1.2,2.5,1.5,2.8,1.3,0.32,0.6,1.1,0,0.64,2.6,0.13,0.14,0.15
F12A,0.46,0.9,0.7,37.6,74.4,4.9,14.6,25.6,26.7,5.1,0.3,0.4,14,52,0.6,7.7,9.3,15.3,1,1.4,2.5,1.6,3.3,1.5,2.1,1.6,2.3,1.2,1.37,0.3,0.5,0.4,0.58,2.3,0.87,0.57,1.13
F13,1.57,0.3,0.3,12.2,9.4,0.1,4.2,5.5,6.2,2.6,0,0.2,4,1.7,0,1.9,0,2.3,1.2,1.1,3.3,1.5,1.2,0,1.8,1,1.6,1.8,0.28,0.4,1.1,0.1,0.66,1.8,0.13,0.14,0.25
F13A,1.67,0.8,0.4,28.8,43.3,2.7,10.9,19.7,17.9,5.8,0.2,0.2,10.6,26.1,0.1,5.7,7.1,9.1,2.6,1.5,1.9,1.6,2.5,1,2.1,1.6,2,1.8,1.06,0.2,0.4,0.5,0.62,1.6,0.45,0.21,0.36
F14,2.37,0.1,0.3,21.9,33.8,4.1,6.1,13.5,13.9,1.2,0,0.2,11,23.5,2.2,2.9,6,8.7,0.1,0.3,2.8,2,3.3,2.7,1.9,1.8,2.6,0.6,0.72,1.1,0.5,0.1,0.61,1.6,0.2,0.59,1.12
F14A,2.47,0.9,0.3,51.5,91.8,7.1,15.8,35.7,36.6,8,0,0,18.5,60.5,1.2,6.3,12.9,20.6,2.2,1,0.9,1.6,2.9,1.5,1.7,1.6,2.3,1.4,1.99,0.1,0.2,0.4,0.58,2,0.86,0.99,2.32
F15,3.5,0.3,0.1,18.8,29.1,2,6.3,11.9,11.3,2.7,0,0,9.3,20.2,0.3,3.6,5.4,6.7,1.1,1,0.9,2,3.3,1.5,2.3,1.8,2.5,1.6,0.52,0.1,0.2,0,0.63,2.1,0.24,0.27,0.44
F15A,3.7,0.7,0.4,44.6,80.6,6.8,15.7,34.1,38.7,7.2,0,0,15.4,52.9,1.6,7.3,13.9,24.5,2.1,0.9,1.1,1.5,2.9,1.6,1.9,1.7,2.7,1.4,1.74,0.1,0.2,0.3,0.54,2.2,0.89,0.89,1.64
F16,4.45,0.2,0.2,17,29,1.8,6.4,8.9,12.2,1.7,0,0.1,8.9,21.3,0.3,4,3.2,8.3,0.3,0.8,1.8,2.1,3.8,1.5,2.7,1.6,3.1,1.2,0.54,0.2,0.3,0,0.58,2.3,0.24,0.34,0.36
