Depth comp r [rmcd],Grey
145.56,380.902828
145.57,392.360841
145.58,391.849146
145.59,399.379486
145.6,406.859959
145.61,398.855727
145.62,409.695053
145.63,411.692639
145.64,419.562117
145.65,417.25959
145.66,408.972162
145.67,422.41093
145.68,430.76058
145.69,444.238444
145.7,452.539947
145.71,429.902438
145.72,460.195203
145.73,453.258027
145.74,464.517655
145.75,481.400994
145.76,476.403364
145.77,461.217589
145.78,481.456864
145.79,474.327851
145.8,489.017906
145.81,488.059759
145.82,486.56816
145.83,475.840678
145.84,495.365324
145.85,491.567159
145.86,492.751261
145.87,500.120512
145.88,481.2044
145.89,489.189882
145.9,482.258939
145.91,462.24508
145.92,477.111785
145.93,488.059515
145.94,477.673116
145.95,488.774842
145.96,489.47706
145.97,456.492251
145.98,469.262195
145.99,465.901925
146,460.110819
146.01,477.30474
146.02,463.524199
146.03,460.61999
146.04,456.153863
146.05,429.561237
146.06,442.394872
146.07,433.351999
146.08,423.06772
146.09,424.798953
146.1,431.052905
146.11,427.971021
146.12,441.15275
146.13,437.4873
146.14,439.777467
146.15,449.70164
146.16,462.439776
146.17,469.670773
146.18,477.756393
146.19,484.328795
146.2,495.635031
146.21,510.277938
146.22,504.675573
146.23,483.13126
146.24,488.18134
146.25,504.480644
146.26,495.399925
146.27,499.675979
146.28,509.557586
146.29,513.524215
146.3,512.565389
146.31,501.30928
146.32,500.72943
146.33,495.233682
146.34,486.257017
146.35,496.315326
146.36,490.024816
146.37,490.965379
146.38,486.888355
146.39,484.00142
146.4,476.567606
146.41,458.544703
146.42,449.926303
146.43,474.721381
146.44,468.793063
146.45,462.95718
146.46,459.935884
146.47,449.513309
146.48,453.619824
146.49,461.284479
146.5,457.885348
146.51,469.407249
146.52,475.314378
146.53,471.527189
146.54,481.553496
146.55,475.238095
146.56,477.673205
146.57,485.416678
146.58,465.676583
146.59,468.851287
146.6,458.342098
146.61,466.841876
146.62,475.235855
146.63,459.63621
146.64,455.986781
146.65,436.226878
146.66,435.963705
146.67,432.115099
146.68,433.508132
146.69,429.784049
146.7,413.315606
146.71,419.253416
146.72,433.429836
146.73,426.033409
146.74,436.514991
146.75,440.234835
146.76,441.87769
146.77,432.846577
146.78,453.156437
146.79,448.530561
146.8,454.998129
146.81,453.941966
146.82,465.29382
146.83,468.579679
146.84,460.131036
146.85,458.903123
146.86,462.574315
146.87,449.223106
146.88,415.050666
146.89,424.704092
146.9,427.19464
146.91,438.103077
146.92,431.650917
146.93,422.91472
146.94,409.298594
146.95,398.523904
146.96,407.553254
146.97,407.381255
146.98,400.67866
146.99,402.189583
147,417.008817
147.01,434.591773
147.02,424.397842
147.03,438.343505
147.04,449.665633
147.05,456.165838
147.06,452.430334
147.07,448.434495
147.08,452.17216
147.09,450.154305
147.1,446.092635
147.11,432.739453
147.12,396.557319
147.13,408.642136
147.14,402.455198
147.15,386.692337
147.16,383.386119
147.17,387.115309
147.18,393.391849
147.19,389.192217
147.2,380.841234
147.21,380.711881
147.22,373.531217
147.23,354.383963
147.24,348.327211
147.25,356.174286
147.26,361.78273
147.27,352.801587
147.28,331.264023
147.29,325.325446
147.3,333.439012
147.31,338.87893
147.32,343.85032
147.33,331.370741
147.34,341.20259
147.35,340.067686
147.36,347.683088
147.37,357.77776
147.38,373.395149
147.39,377.348921
147.4,384.690993
147.41,392.783872
147.42,399.375359
147.43,397.340925
147.44,413.132866
147.45,443.246967
147.46,452.779203
