"","x"
"143",327.873407637406
"144",327.822084692412
"145",327.770777756274
"146",327.719486842548
"147",327.668211965142
"148",327.616953138309
"149",327.565710376659
"150",327.514483695145
"151",327.463273109069
"152",327.412078634083
"153",327.360900286185
"154",327.30973808172
"155",327.258592037377
"156",327.207462170193
"157",327.156348497111
"158",327.105251034378
"159",327.054169797692
"160",327.003104802556
"161",326.952056064268
"162",326.901023597928
"163",326.85000741844
"164",326.799007540505
"165",326.748023978629
"166",326.697056747117
"167",326.646105860077
"168",326.595171331418
"169",326.544253174854
"170",326.493351403899
"171",326.442466031872
"172",326.391597071896
"173",326.340744536899
"174",326.289908439607
"175",326.239088792556
"176",326.188285608084
"177",326.137498898337
"178",326.086728675263
"179",326.035974950619
"180",325.985237735963
"181",325.934517042664
"182",325.883812881894
"183",325.833125264635
"184",325.782454201675
"185",325.731799703608
"186",325.681161780838
"187",325.630540443575
"188",325.579935701838
"189",325.529347565458
"190",325.478776044068
"191",325.428221147118
"192",325.377682883862
"193",325.327161263368
"194",325.276656294512
"195",325.226167985981
"196",325.175696346274
"197",325.125241383697
"198",325.074803106376
"199",325.02438152224
"200",324.973976639037
"201",324.923588464322
"202",324.873217005466
"203",324.822862269654
"204",324.772524263883
"205",324.722202994962
"206",324.67189846952
"207",324.621610693992
"208",324.57133967706
"209",324.52108543214
"210",324.470847975086
"211",324.420627321809
"212",324.370423488269
"213",324.320236490488
"214",324.270066344533
"215",324.219913066528
"216",324.169776672655
"217",324.119657179142
"218",324.069554602273
"219",324.019468958388
"220",323.969400263876
"221",323.919348535181
"222",323.869313788797
"223",323.819296041273
"224",323.769295309209
"225",323.719311609258
"226",323.669344958125
"227",323.619395372565
"228",323.569462869385
"229",323.519547465448
"230",323.469649177662
"231",323.41976802299
"232",323.369904018445
"233",323.32005718109
"234",323.270227528041
"235",323.220415076464
"236",323.170619843572
"237",323.120841846633
"238",323.071081102963
"239",323.02133762993
"240",322.971611444946
"241",322.921902565481
"242",322.872211009046
"243",322.822536793208
"244",322.772879935581
"245",322.723240453824
"246",322.673618365654
"247",322.624013688829
"248",322.574426441156
"249",322.524856640494
"250",322.475304304748
"251",322.425769451872
"252",322.376252099867
"253",322.326752266783
"254",322.277269970714
"255",322.227805229807
"256",322.178358062253
"257",322.12892848629
"258",322.079516520204
"259",322.030122182326
"260",321.980745491636
"261",321.931386468288
"262",321.88204513292
"263",321.832721506011
"264",321.783415607886
"265",321.734127458718
"266",321.684857078525
"267",321.635604487172
"268",321.58636970437
"269",321.537152749678
"270",321.4879536425
"271",321.438772402091
"272",321.38960904755
"273",321.340463597823
"274",321.291336071706
"275",321.242226487848
"276",321.193134864735
"277",321.144061220711
"278",321.095005573965
"279",321.045967942538
"280",320.996948344314
"281",320.947946797035
"282",320.898963318284
"283",320.8499979255
"284",320.801050635972
"285",320.752121466836
"286",320.703210435081
"287",320.654317557545
"288",320.605442850922
"289",320.556586331751
"290",320.507748016425
"291",320.45892792119
"292",320.410126062142
"293",320.361342455233
"294",320.312577116262
"295",320.263830060885
"296",320.21510130461
"297",320.166390862796
"298",320.117698750659
"299",320.069024983266
"300",320.020369575539
"301",319.971732542254
"302",319.923113898043
"303",319.874513657389
"304",319.825931834632
"305",319.777368443969
"306",319.728823499449
"307",319.680297014978
"308",319.631789004319
"309",319.583299481091
"310",319.534828458766
"311",319.486375952163
"312",319.437941978968
"313",319.389526558299
"314",319.341129709248
"315",319.292751450871
"316",319.244391802191
"317",319.196050782201
"318",319.147728409864
"319",319.099424704107
"320",319.051139683828
"321",319.00287336789
"322",318.954625775125
"323",318.906396924334
"324",318.858186834287
"325",318.809995523717
"326",318.761823011326
"327",318.71366931579
"328",318.665534455743
"329",318.617418449797
"330",318.569321316522
"331",318.521243074461
"332",318.473183742125
"333",318.425143337989
"334",318.377121880501
"335",318.32911938807
"336",318.281135879079
"337",318.233171371872
"338",318.185225884767
"339",318.137299436045
"340",318.089392043955
"341",318.041503726715
"342",317.993634502511
"343",317.945784389493
"344",317.897953405781
"345",317.850141569463
"346",317.802348898592
"347",317.75457541119
