Sample,Lithology,Position ,18Ocarb,13Corg,13Ccarb,34Spy ,CaCO3 ,TOC res,TOC,TS res,TS wr,Mn/Sr
E22,Limestone,3.54,-6,-23.95,6.61,,65.71,2,0.63,1.66,0.52,
F15A,Marl,3.7,,,,,57.78,2.18,0.89,2.17,0.89,
E23,Marl,4.17,-6.32,-23.85,5.65,,60.37,2.4,0.81,1.73,0.58,
F16,Limestone,4.45,-5.56,-23.97,8.15,6.8,84.17,2.26,0.24,3.26,0.34,0.24
bioH,Limestone,4.6,-6,-23.92,8.1,,76.88,2.34,,0.36,,
bioH,Limestone,4.6,-6,-23.92,8.1,,76.88,2.33,,0.36,,
F16A,Marl,4.65,,,,,63.88,2.63,1.02,1.22,0.47,
E24,Limestone,4.97,-5.83,-23.75,8.1,,73.78,2.5,0.53,1.57,0.34,
F17,Limestone,5.25,-5.72,-23.78,8.45,5,79.58,2.33,0.37,2.24,0.36,0.2
F17A,Marl,5.35,,,,,61.3,2.99,1.06,2.3,0.81,
E25,Limestone,5.68,-5.7,-23.7,8.43,,72.99,2.4,0.55,1.6,0.36,
F18,Limestone,6.42,-5.2,-23.62,8.36,4.6,84.51,2.7,0.33,2.39,0.3,0.21
F18,Limestone,6.42,-5.2,-23.62,8.36,5,,2.7,0.33,2.39,0.3,
F18A,Limestone,6.52,,,,,70.49,2.59,0.77,2.26,0.67,
E26,Limestone,6.62,-5.97,-23.75,7.17,,71.62,2.3,0.64,2.13,0.59,
E26,Limestone,6.62,-5.97,-23.55,7.17,,71.62,2.3,0.64,2.13,0.59,
bioI,Limestone,7.07,-4.8,-23.74,8,,82.52,2.42,,0.27,,
F19,Limestone,7.45,-4.66,-23.62,7.91,8.5,86.89,2.68,0.26,2.43,0.23,0.22
F19A,Marl,7.55,,,,,57.82,2.71,1.09,1.31,0.52,
E27,Marl,7.6,-6.11,-23.55,6.42,,63.92,2.1,0.67,0.16,0.05,
F20,Limestone,8.5,-4.41,-23.65,7.79,9.5,89.7,3.02,0.24,2.4,0.19,0.23
F20A,Marl,8.7,,,,,58.56,2.44,1.01,0.03,0.01,
E28,Marl,8.97,-6.27,-23.49,6.19,,62.66,2.1,0.68,0.04,0.01,
bioJ,Limestone,9.15,-5,-23.7,8.2,,85.68,1.53,,0.3,,
F21,Limestone,9.35,-4.54,-23.49,8.19,7.4,88.13,2.71,0.21,2.2,0.17,0.23
F21A,Marl,9.45,,,,,55.86,1.79,0.78,0.03,0.01,
F22A,Marl,9.85,,,,,56.97,1.86,0.81,0.05,0.02,
E29,Marl,9.98,-6.37,-23.45,5.19,,55.94,2,0.73,0.26,0.09,
F22,Limestone,10.05,-4.18,-23.7,7.66,4.6,89.78,2.35,0.19,2.35,0.19,0.25
E30,Marl,10.43,-6.11,-23.35,6.23,,60.94,1.8,0.62,2.49,0.86,
E30,Marl,10.43,-6.11,-23.35,6.23,,60.94,1.8,0.62,2.49,0.86,
F23,Limestone,10.55,-4.55,-23.7,7.86,1,87.88,2.3,0.22,3.95,0.38,0.3
F23A,Limestone,10.65,,,,,85.12,1.77,0.25,1.78,0.26,
F24A,Limestone,11.4,,,,,79.02,1.65,0.36,0.07,0.01,
F24,Limestone,11.75,-3.53,-23.85,7.22,-8.8,92.8,1.45,0.07,4.77,0.24,0.8
bioK,Limestone,11.75,-4,-23.85,7.7,,93.31,1.19,,0.3,,
F24,Limestone,11.75,-3.6,,7.24,,,1.19,,0.3,,
bioK,Limestone,11.75,-4,-23.99,7.7,,93.31,1.11,,,,
E31,Limestone,11.77,-5.44,-23.25,6.31,,66.48,1.1,0.33,3.69,1.1,
E31,Limestone,11.77,-5.44,-23.35,6.31,,66.48,1,0.3,3.69,1.1,
F25,Limestone,12.35,-3.55,-24.64,7.09,-19.1,90.17,1.63,0.11,6.07,0.4,0.35
F25,Limestone,12.35,-3.55,-24.64,7.09,-18.9,,1.63,0.11,6.07,0.4,
F25a,Limestone,12.45,,,,,73.34,1.27,0.36,3.3,0.94,
E32,Limestone,12.83,-5.27,-25.25,4.71,,70.86,1.3,0.35,4.69,1.25,
F26,Limestone,13.3,-4,-25.83,5.16,-18.9,92.08,1.64,0.08,4.67,0.23,0.45
F26a,Shale,13.47,,,,,17.53,0.92,0.67,3.15,2.29,
E33,Marl,13.53,,-26.25,,,36.5,0.8,0.42,4.63,2.43,
bioL,Limestone,14.1,-4.8,-27.04,4.1,,90.61,0.97,,0.23,,
bioL,Limestone,14.1,-4.8,-27.32,4.1,,90.61,0.95,,0.23,,
F27a,Shale,14.1,,,,,20.98,0.88,0.29,2.28,0.74,
F27,Limestone,14.13,-4.14,-27.06,4.06,-9.5,91.22,1.04,0.06,4.46,0.24,0.51
F27,Limestone,14.13,-4.14,-27.04,4.06,-10,,1.04,0.06,4.46,0.24,
E34,Marl,14.62,-5.47,-27.85,3.74,,38.46,0.6,0.31,2.67,1.38,
E34,Marl,14.62,-5.62,-27.75,3.72,,38.46,0.6,0.31,2.67,1.38,
F28,Limestone,14.95,-4.82,-28.35,2.92,-5.7,89.72,1.31,0.08,5.47,0.33,0.53
F28A,Shale,15.05,,,,,31.99,0.71,0.45,7.96,5.08,
F29,Limestone,16,-4.33,-29.04,1.81,9.9,94.53,1.42,0.04,4.99,0.14,0.89
F29A,Shale,16.25,,,,,,1.49,0.18,2.45,0.3,
F30,Limestone,16.9,-5.22,-29.94,1.1,6.3,92.17,0.99,0.06,4.09,0.25,0.93
bioM,Limestone,17.37,-4.4,-29.2,0.8,,95.16,0.96,,0.1,,
F31,Limestone,17.85,-4.32,-29.93,0.24,14.5,91.6,0.81,0.03,6.11,0.25,0.55
F31A,Shale,18.05,,,,,30.07,1.13,0.64,3.89,2.21,
F32,Limestone,19.05,-5.02,-30.85,0.14,-0.3,95.59,1,0.09,4.34,0.38,0.97
F32A,Shale,19.15,,,,,26.68,1.15,0.75,3.07,1.99,
bioN,Limestone,19.8,-4.8,-30.22,-1.1,,94.95,1.35,,0.08,,
F33,Limestone,20.5,-4.64,-30.75,-0.74,-2.5,91.85,1.17,0.05,3.32,0.16,1.36
F34,Limestone,21.2,-4.59,-30.31,-0.63,-12.8,96.04,0.99,0.02,4.13,0.1,1.08
F35,Limestone,21.75,-5.38,-30.37,-1.36,,93.07,0.89,0.04,0.31,0.02,0.73
bioO,Limestone,21.9,-5.5,-30.35,-1.5,,92.2,1.09,,0.01,,
bioP,Limestone,22.45,-5.8,-31.04,-1.4,,74.52,0.66,,0.01,,
bioQ,Limestone,22.85,-5,-31.19,-1.4,,83.71,1.02,,0.03,,
