"","xout_vals","mat_sim_mean","mat_sim_sd"
"106",422859.757527913,0.76118095529725,0.137313679584408
"107",422860.31778634,0.763052759836576,0.134247057150371
"108",422860.878044768,0.765498661094866,0.130702646759424
"109",422861.438303195,0.767786754370578,0.126564101516765
"110",422861.998561623,0.769496648768409,0.122094990003417
"111",422862.55882005,0.771135211703822,0.118920767184116
"112",422863.119078477,0.771814233534317,0.11753774559869
"113",422863.679336905,0.77292523295253,0.11708088300369
"114",422864.239595332,0.774395030151252,0.115657388139771
"115",422864.79985376,0.776022448952224,0.113966661924647
"116",422865.360112187,0.777386730646038,0.113017664001973
"117",422865.920370615,0.778186128460149,0.112342881950291
"118",422866.480629042,0.779082236953842,0.110927691170771
"119",422867.04088747,0.779917930615621,0.108961810360717
"120",422867.601145897,0.780934259762945,0.107839608406391
"121",422868.161404325,0.781524048219202,0.108220852306386
