Depth,Magentic,Reflectance,d13c
66.52,7.2,52.7,1.86
66.61,6,54.9,
66.7,6.5,55.6,
66.79,10.9,53.5,
66.88,11.2,50.6,1.719
66.98,11.9,51.8,
67.07,9.2,49.4,
67.16,6.8,56.1,
67.25,5.9,56.5,1.503
67.34,7.4,52.6,
67.43,6.7,48.4,
67.52,8.8,55.2,
67.61,10.4,51.6,1.472
67.71,11.3,51.4,
67.8,11.3,50.2,
67.93,8.8,51.7,1.501
68.1,7.8,54.3,
68.26,8.3,53.9,1.709
68.42,8.3,55.3,
68.59,6.9,57.4,
68.71,7.6,49.2,
68.8,10.4,49.2,1.345
68.88,9.5,49.1,
68.97,7.2,45.9,
69.06,6.5,50.8,1.79
69.16,11.2,51.5,
69.25,9,50.5,
69.36,15.1,47.6,
69.48,17.1,45.5,1.117
69.6,14.8,51.1,
69.72,15.3,50,
69.83,7.1,48.6,
69.92,4.6,46.1,1.575
70.02,8.5,48.5,
70.11,7.7,50.9,
70.22,10.7,46.6,
70.34,16.1,44.9,1.516
70.45,15.3,47.9,
70.57,19.9,47.1,
70.68,8.1,54,
70.79,6,52.9,1.792
70.89,6.3,50.8,
71,10.1,48.5,
71.12,9.4,50.6,
71.25,11.6,46.8,1.857
71.38,16,44.1,
71.51,8.3,51.2,
71.65,9.5,54,
71.78,6.6,52.4,2.004
71.91,6,51,
72.05,6.9,48.3,
72.18,9.4,50.3,
72.32,10.1,50.6,1.381
72.45,8.2,51.3,
72.58,7,56.9,
72.71,7.9,48.1,
72.84,8.3,54.9,1.845
72.97,9.5,51.3,
73.07,15.9,49.5,
73.14,12.2,46.7,
73.21,17.5,48.1,1.77
73.28,8.1,45.6,
73.35,13.1,49.5,
73.43,5.7,54.3,
73.53,6.7,53.3,1.843
73.63,9.1,59.3,
73.73,13.2,47,
73.84,12.7,47.7,
73.95,10.9,44.4,1.863
74.05,13.4,46.2,
74.16,8,54.4,
74.27,7.9,48.8,
74.39,6.6,50.8,1.945
74.5,10.2,45.2,
74.61,10.2,45.7,
74.7,14.1,46.9,1.795
74.79,9.6,53.8,
74.88,8.4,48,
74.96,8.4,51.3,
75.04,4,51.3,
75.17,5.3,52,1.919
75.3,8.8,52.1,
75.4,5.8,49.7,
75.48,6.4,49.1,
75.56,10.8,55.1,2.042
75.64,5.7,52.5,
75.72,9.7,47.9,
75.8,7.1,50.4,
75.87,7.6,52.1,1.813
75.94,6.1,53.5,
76.02,7.4,51.5,
76.1,10.7,51.1,1.806
76.18,11.3,50.4,
76.26,7.8,49.5,
76.34,8.3,55.1,
76.42,8.6,52.7,2.088
76.5,7,52.1,
76.58,7.4,56,
76.66,7.5,56.7,2.021
76.74,8.9,53.6,
76.81,7.2,54.1,
76.88,7.3,52.1,1.905
76.95,5.3,56.7,
77.02,8.8,52.1,
77.11,12.7,50.7,
77.19,9.7,52,1.922
77.27,11.2,52.8,
77.36,11.5,56.6,
77.45,5.8,55,
77.56,8.8,48.9,1.831
77.66,8.5,55,
77.77,7.6,56.5,
77.87,6.8,51.7,
77.96,7.9,54.2,1.809
78.05,8.4,53.5,
78.14,8.9,55,
78.23,6.7,50.2,
78.3,5.4,50.1,1.774
78.37,6.6,49.5,
78.44,8.6,52.7,
78.51,6.3,49.1,2.038
78.58,5.4,51.3,
78.65,10.1,50.2,
78.72,7,51.9,
78.79,9.2,52.9,1.776
78.86,7.7,56.4,
78.93,8.5,51.8,
79,12.8,49.2,
79.08,12.3,52.6,1.863
79.16,7.9,51.5,
79.23,7.4,48.8,
79.32,8,49,
79.43,7.2,55.5,1.989
79.53,6.7,53.8,
79.63,9.2,52.9,
79.73,10.1,47.5,
79.84,16.9,50.6,1.881
79.94,16,47.7,
80.04,11.8,54.9,
80.13,8.7,55,
80.21,6.8,56.5,1.92
80.29,6.4,51.2,
80.39,8.8,52.1,
80.51,10.1,50.3,
80.64,15.3,48.9,1.811
80.76,13.7,52.4,
80.88,8.4,52,
80.97,5.7,56.8,
81.04,7.3,55.3,1.61
81.11,5.4,59.2,
81.18,7.2,53.9,
81.25,11.6,50.2,
81.33,11.3,51.2,2.082
81.4,7.7,52.7,
81.53,7.8,56.6,1.806
81.71,7.6,52.5,
81.8,10.7,51,
81.89,7.1,48.4,
81.98,7.6,55.7,
82.07,10.1,55.8,
82.16,6,50.6,
82.25,9.2,49,
82.33,12.8,47.6,1.846
82.41,11.1,46,
82.5,8.8,51.1,
82.58,5.7,54.9,
82.65,6.4,55,1.658
82.72,10,55.6,
82.82,10.1,45.4,
82.94,10.9,46.2,
83.07,13.9,46.5,1.706
83.19,16.3,48,
83.31,18.5,45.3,
83.43,9.1,49.7,
83.56,6.4,50.8,1.747
83.68,12,45.1,
83.81,13.7,46.9,
83.93,14.4,50.4,
84.04,14.8,45.2,
84.15,19.5,45.2,1.384
84.26,17.2,43.5,
84.37,15.2,46.6,
84.45,9.5,52.8,
84.51,11.6,53.2,1.587
84.58,8.2,53.9,
84.64,9.9,51,
84.71,11.2,48.2,
84.79,16.6,40.6,1.741
84.86,11,45.5,
84.94,14.5,52.2,
85.03,11.7,57.3,1.286
85.12,8.4,46.5,
85.2,9.8,49.4,
85.29,8.9,51.3,
85.37,8.2,47.6,1.834
85.45,13.7,51.1,
85.54,12.2,49.2,
85.62,13.4,46.3,
85.69,5,53.1,-0.786
85.77,17,46.8,
85.88,13.5,46.6,
85.99,14.3,44.8,
86.11,16.2,50,1.73
86.22,12.5,48.9,
86.33,12.2,43.7,
86.44,9.2,46.5,
86.56,13.8,48.1,1.646
86.68,11.8,51.5,
86.8,11,51,
86.91,14.1,43.1,
87.02,13.7,46.8,
87.13,18.9,48.4,1.415
87.24,20.8,47.3,
87.35,22,47.9,
87.46,14.9,47.6,
87.57,13.7,52.3,1.866
87.68,22.1,50,
87.78,17.8,46.3,
87.89,17.9,45.4,
87.99,17.4,42.3,1.447
88.1,15.6,46.7,
88.2,14.5,46.8,
88.31,19.7,47.9,
88.42,18,45,1.62
88.55,14.1,48.1,
88.67,18.7,43.9,
88.79,20.3,43.8,
88.91,17.1,44.8,1.559
89.02,14.4,42.4,
89.14,21.8,42.1,
89.26,20.7,46.1,
89.36,13.6,47.2,1.607
89.43,15,48.6,
89.51,10.8,50.1,
89.62,12.6,48.5,
89.72,19,45.4,
89.83,14,44.7,1.466
89.94,20,49,
90.04,23.7,45.6,
90.15,13.6,45.8,
90.23,13.6,47.6,1.785
90.31,18.3,49.2,
90.44,22.1,49,
90.56,19.7,44.6,1.547
90.69,13.4,46.9,
90.81,16.6,46.9,
90.94,8,47.9,
91.03,17.3,47.9,1.531
91.11,13.7,45.6,
91.23,14.5,47.8,
91.35,20.2,42.3,
91.47,19.8,46.6,1.749
91.59,15.9,40.8,
91.71,15.8,43.7,
91.83,,42.6,
91.95,18.5,42.4,
92.02,18.2,43.7,1.691
92.05,11.2,47,
92.12,,41.5,
92.24,11.1,43.6,
92.36,21.4,47.9,1.565
92.49,26,44.1,
92.61,16.2,46.6,
92.73,23.1,43.5,
92.82,16,48.3,1.692
92.87,19.1,41.6,
92.96,19.5,46.1,
93.09,15.4,46.5,
93.22,18.1,42.6,1.492
93.34,22.5,45.4,
93.47,23,45,
93.6,20,42.6,
93.71,16.5,44.7,1.875
93.8,17.7,48.5,
93.9,12,40.4,
94.03,15.3,48.9,
94.15,14.3,45.2,1.578
94.28,22,44.6,
94.4,23.3,46.9,
94.53,17.5,46.7,
94.62,18.8,41.6,1.924
94.72,14.2,45.3,
94.88,17.2,43.5,
95.03,12.2,47.6,1.773
95.19,16.1,40.8,
95.35,19.5,46.3,
95.5,12.1,46,
95.59,14.8,45.7,1.718
95.62,16,45.1,
95.69,21.1,46.9,
95.8,11.5,43.3,
95.91,20.3,39.3,1.316
96.02,13.5,48.6,
96.13,15.6,40.8,
96.24,19.2,44.5,
96.36,13.4,48.3,
96.49,17.1,46.2,1.64
96.62,16.2,45.4,
96.75,22.1,46.7,
96.88,17.1,41,
97.01,15.6,47.7,1.118
97.14,17.4,44,
97.27,17.2,43.6,
97.4,20.1,46.9,
97.52,16,41.7,
97.63,11.1,45.1,-1.532
97.74,16.2,49.1,
97.88,19.3,48.6,
