"","V1","V2"
"183",-6.18000000000004,424732.624665974
"184",-6.17000000000004,424731.854907074
"185",-6.16000000000004,424731.085173786
"186",-6.15000000000004,424730.315466183
"187",-6.14000000000004,424729.54578434
"188",-6.13000000000004,424728.776128325
"189",-6.12000000000004,424728.006498205
"190",-6.11000000000004,424727.236894043
"191",-6.10000000000004,424726.467315902
"192",-6.09000000000004,424725.697763838
"193",-6.08000000000004,424724.928237908
"194",-6.07000000000004,424724.158738163
"195",-6.06000000000004,424723.389264654
"196",-6.05000000000004,424722.619817426
"197",-6.04000000000004,424721.850396525
"198",-6.03000000000004,424721.081001991
"199",-6.02000000000004,424720.311633862
"200",-6.01000000000004,424719.542292174
"201",-6.00000000000004,424718.77297696
"202",-5.99000000000004,424718.003688249
"203",-5.98000000000004,424717.234426068
"204",-5.97000000000004,424716.465190442
"205",-5.96000000000004,424715.695981391
"206",-5.95000000000004,424714.926798934
"207",-5.94000000000004,424714.157643086
"208",-5.93000000000004,424713.388513899
"209",-5.92000000000004,424712.619411493
"210",-5.91000000000004,424711.850336029
"211",-5.90000000000004,424711.081287668
"212",-5.89000000000004,424710.312266572
"213",-5.88000000000005,424709.543272904
"214",-5.87000000000005,424708.774306827
"215",-5.86000000000005,424708.005368507
"216",-5.85000000000005,424707.23645811
"217",-5.84000000000005,424706.467575803
"218",-5.83000000000005,424705.698721753
"219",-5.82000000000005,424704.929896129
"220",-5.81000000000005,424704.161099102
"221",-5.80000000000005,424703.392330843
"222",-5.79000000000005,424702.623591524
"223",-5.78000000000005,424701.854881317
"224",-5.77000000000005,424701.086200396
"225",-5.76000000000005,424700.317548938
"226",-5.75000000000005,424699.548927116
"227",-5.74000000000005,424698.78033511
"228",-5.73000000000005,424698.011773096
"229",-5.72000000000005,424697.243241254
"230",-5.71000000000005,424696.474739763
"231",-5.70000000000005,424695.706268805
"232",-5.69000000000005,424694.937828562
"233",-5.68000000000005,424694.169419216
"234",-5.67000000000005,424693.401040952
"235",-5.66000000000005,424692.632693955
"236",-5.65000000000005,424691.86437841
"237",-5.64000000000005,424691.096094505
"238",-5.63000000000005,424690.327842428
"239",-5.62000000000005,424689.559622367
"240",-5.61000000000005,424688.791434512
"241",-5.60000000000005,424688.023279055
"242",-5.59000000000005,424687.255156188
"243",-5.58000000000005,424686.487066103
"244",-5.57000000000005,424685.719008994
"245",-5.56000000000005,424684.950985056
"246",-5.55000000000005,424684.182994486
"247",-5.54000000000005,424683.415037479
"248",-5.53000000000005,424682.647114235
"249",-5.52000000000005,424681.879224951
"250",-5.51000000000005,424681.111369828
"251",-5.50000000000005,424680.343549066
"252",-5.49000000000005,424679.575762868
"253",-5.48000000000005,424678.808011435
"254",-5.47000000000005,424678.040294973
"255",-5.46000000000005,424677.272613685
"256",-5.45000000000005,424676.504967778
"257",-5.44000000000005,424675.737357458
"258",-5.43000000000005,424674.969782933
"259",-5.42000000000005,424674.202244411
"260",-5.41000000000006,424673.434742112
"261",-5.40000000000006,424672.667276274
"262",-5.39000000000006,424671.899847141
"263",-5.38000000000006,424671.132454956
"264",-5.37000000000006,424670.365099962
"265",-5.36000000000006,424669.597782396
"266",-5.35000000000006,424668.830502497
"267",-5.34000000000006,424668.063260498
"268",-5.33000000000006,424667.296056632
"269",-5.32000000000006,424666.52889113
"270",-5.31000000000006,424665.761764221
"271",-5.30000000000006,424664.994676131
"272",-5.29000000000006,424664.227627084
"273",-5.28000000000006,424663.460617303
"274",-5.27000000000006,424662.693647007
"275",-5.26000000000006,424661.926716415
"276",-5.25000000000006,424661.159825743
"277",-5.24000000000006,424660.392975204
"278",-5.23000000000006,424659.62616501
"279",-5.22000000000006,424658.859395371
"280",-5.21000000000006,424658.092666495
"281",-5.20000000000006,424657.325978586
"282",-5.19000000000006,424656.559331849
"283",-5.18000000000006,424655.792726485
"284",-5.17000000000006,424655.026162692
"285",-5.16000000000006,424654.259640668
"286",-5.15000000000006,424653.493160608
"287",-5.14000000000006,424652.726722705
"288",-5.13000000000006,424651.96032715
"289",-5.12000000000006,424651.193974131
"290",-5.11000000000006,424650.427663835
"291",-5.10000000000006,424649.661396446
"292",-5.09000000000006,424648.895172148
"293",-5.08000000000006,424648.12899112
"294",-5.07000000000006,424647.362853541
"295",-5.06000000000006,424646.596759587
"296",-5.05000000000006,424645.830709433
"297",-5.04000000000006,424645.064703249
"298",-5.03000000000006,424644.298741207
"299",-5.02000000000006,424643.532823474
"300",-5.01000000000006,424642.766950216
"301",-5.00000000000006,424642.001121596
"302",-4.99000000000006,424641.235337777
"303",-4.98000000000006,424640.469598918
"304",-4.97000000000006,424639.703905176
"305",-4.96000000000006,424638.938256707
"306",-4.95000000000007,424638.172653664
"307",-4.94000000000007,424637.407096198
"308",-4.93000000000007,424636.641584459
"309",-4.92000000000007,424635.876118594
"310",-4.91000000000007,424635.110698748
